Date,Activity,Steps,Distance,Duration,Calories,Destination
"Dec 12, 1:27PM",Run,"5,966",3.85 miles,36:59:00,316 cals,South Lake Union
"Dec 3, 1:54PM",Run,"4,298",2.86 miles,28:03:00,247 cals,South Lake Union
"Dec 2, 2:00PM",Run,"7,161",4.51 miles,49:28:00,375 cals,South Lake Union
"Nov 24, 10:12AM",Run,"6,637",4.29 miles,41:16:00,330 cals,South Lake Union
"Nov 21, 12:27PM",Run,"6,173",4.27 miles,39:40:00,340 cals,South Lake Union
"Oct 17, 11:37AM",Run,"7,934",5.28 miles,49:01:00,411 cals,Burke Gilman
"Oct 8, 5:29PM",Run,"16,219",9.19 miles,1:48:32,817 cals,Fremont
"Oct 7, 2:09PM",Run,"4,689",3.05 miles,30:01:00,238 cals,Green Lake
"Oct 4, 12:05PM",Run,"9,451",6.03 miles,59:02:00,461 cals,Ballard Locks
"Sep 26, 8:32AM",Run,"6,223",4.04 miles,37:55:00,309 cals,South Lake Union
"Sep 24, 3:51PM",Run,"12,769",7.06 miles,1:21:49,639 cals,Chesiahud Loop
"Sep 20, 12:55PM",Run,"9,555",6.27 miles,1:00:20,520 cals,Ballard Locks
"Sep 19, 2:56PM",Run,"6,989",4.49 miles,44:12:00,399 cals,Canal
"Sep 14, 7:56PM",Run,"3,441",2.01 miles,22:23:00,166 cals,Woodland Park
"Sep 7, 2:55PM",Run,"6,908",4.02 miles,44:16:00,335 cals,Green Lake
"Sep 6, 11:23AM",Run,"7,946",5.04 miles,49:21:00,406 cals,Green Lake
"Sep 5, 7:36 PM",Run,"6,503",4.22 miles,40:29:00,353 cals,South Lake Union
"Sep 3, 6:44 PM",Run,"9,407",5.03 miles,1:01:56,454 cals,South Lake Union
"Sep 2, 8:19 PM",Run,"5,261",3.02 miles,34:28:00,273 cals,Green Lake
"Sep 2, 6:31 PM",Aerobic Workout Edit,"2,816",N/A,1:08:16,376 cals,N/A
"Sep 1, 2:45 PM",Walk Edit,"2,833",N/A,40:58:00,184 cals,N/A
"Aug 31, 12:57 PM",Run,"4,900",3.13 miles,30:09:00,242 cals,Green Lake
"Aug 30, 1:16 PM",Run,"7,035",4.02 miles,43:43:00,338 cals,Burke Gilman
"Aug 29, 7:19 AM",Run,"6,835",4.12 miles,42:11:00,326 cals,Burke Gilman
"Aug 27, 9:44 AM",Run,"7,317",4.51 miles,45:17:00,368 cals,Burke Gilman
"Aug 26, 9:35 AM",Run,"3,849",3.01 miles,23:38:00,222 cals,Green Lake
"Aug 24, 12:48 PM",Run,"4,649",3.02 miles,28:57:00,243 cals,Green Lake
"Aug 23, 8:15 AM",Run,"6,385",4.17 miles,39:31:00,343 cals,Burke Gilman
"Aug 22, 11:19 AM",Run,"4,166",3.06 miles,25:51:00,247 cals,Green Lake
"Aug 20, 8:28 AM",Run,"6,272",4.02 miles,38:28:00,319 cals,Burke Gilman
"Aug 19, 12:33 PM",Run,"4,372",3.17 miles,26:45:00,253 cals,Burke Gilman
"Aug 18, 5:30 PM",Sport Edit,"1,223",N/A,15:21:00,79 cals,N/A
"Aug 17, 4:48 PM",Run,"4,171",3.02 miles,26:15:00,228 cals,Green Lake
"Aug 16, 9:32 AM",Hike,"12,470",5.55 miles,3:05:57,750 cals,N/A
"Aug 15, 8:29 PM",Run,"4,539",3.01 miles,28:34:00,238 cals,Green Lake
"Aug 13, 7:08 PM",Run,"5,087",3.04 miles,32:05:00,256 cals,Green Lake
"Aug 13, 11:40 AM",Hike,"15,290",8.16 miles,2:54:21,854 cals,N/A
"Aug 12, 8:18 PM",Bike,N/A,3.08 miles,19:29,98 cals,N/A
"Aug 12, 7:41 PM",Run,"4,642",3.04 miles,29:10:00,236 cals,Green Lake
"Aug 12, 7:22 PM",Bike,N/A,2.3 miles,13:15,59 cals,N/A
"Aug 12, 11:13 AM",Walk Edit,"1,986",N/A,32:25:00,124 cals,N/A
"Aug 11, 1:40 PM",Bike,N/A,2.87 miles,16:32,91 cals,N/A
"Aug 11, 1:09 PM",Run,"4,692",3.04 miles,29:04:00,231 cals,Green Lake
"Aug 11, 12:51 PM",Bike,N/A,2.86 miles,15:32,74 cals,N/A
